DATE              MODEL                 MARKET              CUSTOMER                  SUBTOTAL        FINANCING         NOTES
2025-01-01        Tesla Model Y         COMMERCIAL          Ashford Group Inc.           51330        72   
2025-01-02        Tesla Model Y         COMMERCIAL          Pennington Group Inc.        53060        84   
2025-01-03        Tesla Model X         CONSUMER            Morgan Callahan             101540        72   
2025-01-04        Tesla Roadster        COMMERCIAL          Lancaster Group Inc.        203390        72   
2025-01-05        Tesla Model 3         COMMERCIAL          Ashford Group Inc.           44420        84   
2025-01-06        Tesla Model X         CONSUMER            Cameron Callahan             99930        72   
2025-01-07        Tesla Model 3         CONSUMER            Morgan Lancaster             45420        72   
2025-01-08        Tesla Model X         CONSUMER            Jordan Winslow               97830        60   
2025-01-09        Tesla Model S         COMMERCIAL          Winslow Group Inc.           91720        36   
2025-01-10        Tesla Model X         CONSUMER            Jamie Montague               99030        72   
2025-01-11        Tesla Model 3         CONSUMER            Jamie Underwood              46010        48   
2025-01-12        Tesla Roadster        CONSUMER            Morgan Winslow              202100        48   
2025-01-13        Tesla Model S         CONSUMER            Logan Holloway               91750        60   
2025-01-14        Tesla Model S         COMMERCIAL          Callahan Group Inc.          93580        60   
2025-01-15        Tesla Roadster        CONSUMER            Jamie Ashford               204010        84   
2025-01-16        Tesla Roadster        CONSUMER            Logan Kensington            204460        36   
2025-01-17        Tesla Model S         CONSUMER            Morgan Winslow               94650        60   
2025-01-18        Tesla Model 3         COMMERCIAL          Winslow Group Inc.           45450        48   
2025-01-19        Tesla Roadster        COMMERCIAL          Kensington Group Inc.       201150        60   
2025-01-20        Tesla Model X         COMMERCIAL          Callahan Group Inc.          97630        36   
2025-01-21        Tesla Model Y         CONSUMER            Peyton Ashford               52480        72   
2025-01-22        Tesla Model X         COMMERCIAL          Montague Group Inc.          99620        84   
2025-01-23        Tesla Model S         CONSUMER            Casey Radcliffe              92270        36   
2025-01-24        Tesla Model 3         CONSUMER            Alex Radcliffe               44200        72   
2025-01-25        Tesla Model 3         CONSUMER            Cameron Callahan             44570        48   
2025-01-26        Tesla Model S         COMMERCIAL          Ashford Group Inc.           91050        60   
